JacksonXml,1,smartcommit,2.740273000
Jsoup,28,smartcommit,3.227061000
JacksonDatabind,62,smartcommit,3.143642000
Mockito,14,smartcommit,1.472804000
Closure,169,smartcommit,7.361138000
Closure,156,smartcommit,2.312455000
Cli,1,smartcommit,1.851792000
JxPath,9,smartcommit,2.545571000
Lang,1,smartcommit,4.059342000
Closure,160,smartcommit,3.167398000
JxPath,7,smartcommit,3.008770000
Closure,158,smartcommit,3.019137000
Mockito,25,smartcommit,3.747836000
Lang,6,smartcommit,2.332004000
JacksonDatabind,53,smartcommit,2.290146000
Closure,167,smartcommit,8.748613000
JacksonCore,1,smartcommit,2.545171000
JacksonDatabind,38,smartcommit,3.777543000
Jsoup,72,smartcommit,3.172242000
Closure,40,smartcommit,3.025945000
Codec,8,smartcommit,2.261846000
Lang,35,smartcommit,3.593558000
Jsoup,81,smartcommit,2.164288000
JacksonCore,24,smartcommit,3.665979000
Closure,134,smartcommit,9.198933000
Codec,6,smartcommit,1.721349000
Csv,5,smartcommit,2.906479000
Jsoup,43,smartcommit,2.271122000
JacksonDatabind,36,smartcommit,2.438433000
Closure,76,smartcommit,2.016257000
Closure,49,smartcommit,3.860140000
Lang,7,smartcommit,3.949647000
JacksonDatabind,52,smartcommit,3.148922000
Closure,159,smartcommit,3.129628000
Closure,166,smartcommit,4.580819000
Mockito,23,smartcommit,2.892329000
JxPath,1,smartcommit,2.276557000
Closure,161,smartcommit,2.061424000
JacksonCore,7,smartcommit,3.601167000
Mockito,15,smartcommit,2.488121000
Closure,168,smartcommit,7.862747000
JacksonDatabind,63,smartcommit,2.454973000
JacksonDatabind,97,smartcommit,3.132532000
Closure,157,smartcommit,5.319920000
Closure,24,smartcommit,3.120889000
Lang,56,smartcommit,4.038824000
Jsoup,3,smartcommit,2.671532000
Closure,150,smartcommit,3.966093000
Csv,3,smartcommit,2.394083000
Closure,48,smartcommit,6.106976000
JacksonDatabind,30,smartcommit,4.798613000
JacksonDatabind,103,smartcommit,6.458483000
Codec,7,smartcommit,1.996615000
JacksonCore,13,smartcommit,4.219041000
Time,3,smartcommit,4.097484000
Closure,135,smartcommit,6.501264000
Jsoup,87,smartcommit,5.593814000
JacksonDatabind,39,smartcommit,2.115736000
JacksonDatabind,110,smartcommit,1.982102000
Closure,128,smartcommit,3.877174000
JacksonDatabind,23,smartcommit,2.778340000
Time,27,smartcommit,3.760515000
JacksonDatabind,15,smartcommit,4.036308000
Closure,121,smartcommit,2.424315000
Jsoup,58,smartcommit,3.782881000
Jsoup,67,smartcommit,3.271611000
Time,16,smartcommit,2.301420000
Mockito,30,smartcommit,2.157058000
Closure,175,smartcommit,2.519777000
JacksonDatabind,4,smartcommit,4.259928000
Mockito,37,smartcommit,2.111641000
Closure,143,smartcommit,3.637214000
JacksonDatabind,83,smartcommit,3.004757000
Closure,144,smartcommit,9.655959000
JacksonDatabind,70,smartcommit,1.714587000
Jsoup,59,smartcommit,2.594214000
Closure,127,smartcommit,1.854308000
Jsoup,92,smartcommit,3.055366000
Closure,54,smartcommit,6.463616000
Closure,98,smartcommit,2.908084000
Closure,53,smartcommit,2.327487000
JacksonDatabind,22,smartcommit,3.151486000
Closure,91,smartcommit,2.312002000
Jsoup,57,smartcommit,3.067736000
Time,26,smartcommit,2.869414000
JacksonDatabind,25,smartcommit,3.399294000
Closure,145,smartcommit,3.255621000
JacksonDatabind,71,smartcommit,2.106527000
Closure,142,smartcommit,9.198450000
JacksonDatabind,82,smartcommit,2.441781000
JacksonDatabind,76,smartcommit,2.222824000
JacksonDatabind,78,smartcommit,2.220953000
Math,54,smartcommit,3.269651000
Closure,6,smartcommit,9.053978000
Math,53,smartcommit,3.888105000
Math,38,smartcommit,4.469673000
Math,31,smartcommit,3.093228000
Math,52,smartcommit,2.768280000
Math,63,smartcommit,3.697141000
Math,97,smartcommit,1.933909000
Math,64,smartcommit,2.492754000
