project,bug_id,smartcommit_rand_index,flexeme_rand_index,files_updated,test_files_updated,hunks,average_hunk_size,lines_updated
Math,2,1.0,0.4053030303030303,4.0,1.0,4.0,5.5,22.0
Math,30,0.6339869281045751,0.3768115942028985,2.0,2.0,3.0,6.0,18.0
Math,44,0.9459665144596652,0.3704367301231803,3.0,1.0,7.0,10.428571428571429,73.0
Math,46,0.5604395604395604,0.4117647058823529,2.0,1.0,4.0,3.5,14.0
Math,51,0.6277551020408163,0.4976203067160232,2.0,1.0,9.0,5.555555555555555,50.0
Math,54,0.72,0.4264264264264264,3.0,1.0,6.0,4.166666666666667,25.0
Math,56,1.0,1.0,,,,,
Math,57,1.0,1.0,,,,,
Math,60,0.6190476190476191,0.500886524822695,,,,,
Math,64,0.5924657534246576,0.4991460953268126,3.0,1.0,17.0,4.294117647058823,73.0
Math,70,1.0,0.5636363636363636,3.0,1.0,3.0,3.6666666666666665,11.0
Math,73,0.4861660079051383,0.5579710144927537,3.0,1.0,5.0,4.6,23.0
Math,95,0.7293447293447294,0.5123152709359606,,,,,
Math,97,0.5864661654135338,0.5617998506348021,4.0,1.0,17.0,4.529411764705882,77.0
Mockito,12,0.7717391304347826,0.3168168168168168,2.0,1.0,5.0,4.8,24.0
Time,22,1.0,1.0,,,,,
Time,23,1.0,1.0,,,,,
