project,bug_id,flexeme_exists,smartcommit_exists
Time,5,True,True
Jsoup,67,False,True
Lang,12,True,True
Math,68,True,True
JacksonDatabind,102,False,False
JxPath,7,True,True
Jsoup,45,False,True
Codec,2,True,True
JacksonDatabind,30,True,True
Lang,8,True,True
Cli,1,True,True
JacksonDatabind,6,False,True
Jsoup,12,True,True
Compress,37,True,False
Math,75,True,True
Closure,73,False,True
Closure,161,True,True
Cli,33,True,True
Jsoup,16,True,False
JacksonDatabind,58,True,True
Lang,47,False,True
JacksonCore,24,True,True
Jsoup,78,True,False
Closure,27,True,True
Jsoup,56,True,False
Math,89,True,True
JacksonXml,6,True,True
JxPath,14,True,True
Lang,28,True,True
Csv,9,True,True
Closure,63,False,False
Closure,115,True,True
JacksonDatabind,34,True,True
Lang,64,True,True
Closure,149,True,True
JacksonDatabind,52,True,True
Csv,6,True,True
Closure,126,True,True
Gson,17,True,True
Closure,170,True,True
Jsoup,51,True,True
Compress,2,True,True
Closure,67,True,True
JacksonDatabind,112,True,True
Compress,19,True,True
Compress,28,True,True
Time,15,True,True
JacksonDatabind,24,True,False
Math,88,True,True
Cli,39,True,True
Codec,11,True,True
Mockito,4,False,True
Jsoup,23,True,False
Lang,41,True,True
Jsoup,18,True,True
JxPath,3,True,True
Gson,12,True,True
Closure,18,True,True
Closure,59,True,True
Closure,98,True,True
Lang,5,True,True
JxPath,16,True,True
Closure,157,True,True
Jsoup,26,True,True
Mockito,20,False,True
Compress,27,True,False
Math,95,True,True
Cli,24,True,False
Closure,175,True,True
Collections,9,False,False
JacksonCore,16,True,True
JacksonDatabind,15,True,True
JacksonDatabind,64,True,True
Lang,57,True,True
Math,56,True,True
Jsoup,71,True,True
Closure,152,True,True
Closure,45,True,True
JacksonDatabind,33,True,True
Closure,26,True,True
Math,62,True,True
Closure,106,True,True
Math,99,True,True
Lang,3,True,True
Jsoup,15,True,True
Math,70,True,True
Compress,23,True,True
Closure,84,True,True
JacksonDatabind,78,True,True
Closure,19,True,True
Lang,33,True,True
Math,76,True,True
JacksonDatabind,73,True,True
Math,43,True,True
Math,81,True,True
Closure,112,True,True
Jsoup,29,True,True
Jsoup,83,True,False
Compress,15,True,True
Lang,30,True,True
Closure,28,True,True
Compress,25,True,True
JacksonCore,8,True,True
JxPath,22,True,True
JxPath,15,True,True
JacksonCore,22,True,True
Math,72,True,True
JacksonDatabind,20,True,True
Math,52,True,True
JacksonDatabind,23,True,True
Lang,38,True,True
JacksonCore,6,True,True
Closure,36,True,True
Closure,135,True,True
Lang,39,True,True
Gson,6,True,True
Compress,16,True,True
JacksonDatabind,69,True,False
Mockito,29,False,True
Lang,31,True,True
JacksonDatabind,90,True,False
Closure,37,True,True
Closure,86,True,True
Closure,62,True,True
JacksonDatabind,50,True,True
Math,5,True,True
Closure,9,True,True
Cli,15,True,True
Collections,24,False,False
Compress,42,True,True
Closure,68,True,True
Compress,14,True,True
Collections,11,False,False
JacksonDatabind,84,True,True
Time,2,True,True
Mockito,28,False,True
Closure,101,True,True
Mockito,38,False,True
Jsoup,34,True,False
JacksonDatabind,21,False,True
Time,13,True,True
Closure,92,True,True
Math,86,True,True
Jsoup,47,True,True
Closure,128,False,True
Math,85,True,True
Math,78,True,True
JacksonDatabind,60,False,False
Closure,150,True,True
JxPath,19,True,True
Jsoup,62,False,True
JacksonDatabind,47,True,True
Closure,107,True,True
Compress,43,True,True
Lang,2,False,False
Lang,1,True,True
Csv,16,False,True
Math,35,True,True
Closure,75,True,True
JacksonDatabind,111,True,False
Closure,54,True,True
Mockito,23,False,True
JxPath,8,True,True
Gson,14,True,True
Gson,10,True,True
Lang,11,True,True
Lang,36,True,True
JacksonDatabind,11,True,True
Lang,17,True,True
Jsoup,49,True,True
Time,1,True,True
Lang,6,True,True
Math,54,True,True
JxPath,5,False,True
Csv,10,True,True
Codec,16,True,True
Compress,30,True,True
Closure,103,True,True
Closure,52,False,True
Collections,18,False,False
Closure,110,True,True
JacksonXml,2,False,True
Lang,18,True,True
Closure,64,True,True
